NU_ANO_CENSO;CODE;NAME;CO_ORGAO_REGIONAL;TP_SITUACAO_FUNCIONAMENTO;DT_ANO_LETIVO_INICIO;DT_ANO_LETIVO_TERMINO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_UF;CO_MUNICIPIO;CO_DISTRITO;TP_DEPENDENCIA;TP_LOCALIZACAO;QT_SALAS_EXISTENTES;QT_SALAS_UTILIZADAS;QT_FUNCIONARIOS
2018;53003608;CED 05 DE TAGUATINGA;3;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;105
2018;53012372;C DE EDUC NATURAL E INTEGRAL - CENI;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53010663;CR ACAO SOCIAL NOSSA SENHORA DE FATIMA;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53016670;FACULDADE DE CIENCIAS SOCIAS E TECNOLOGICAS;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53007255;CAIC BERNARDO SAYAO;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;23;23;85
2018;53007263;CAIC PROF ANISIO TEIXEIRA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;40;40;80
2018;53007280;CEF 02 DE CEILANDIA;8;1;05/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;16;16;116
2018;53007298;CEF 04 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;19;19;71
2018;53007301;CEF 07 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;42;42;107
2018;53007310;CEF 10 DE CEILANDIA;8;1;15/02/2018;21/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;14;14;65
2018;53007328;CEF 11 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;52
2018;53007336;CEF 12 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;76
2018;53007344;CEF 13 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;17;17;112
2018;53007352;CEF 14 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;18;82
2018;53007360;CED 14 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;19;19;129
2018;53007379;CEF 16 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;14;14;82
2018;53007387;CED 15 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;104
2018;53004698;COL PRO - FUTURO;99;1;29/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;15;15;29
2018;53004701;COL CONEXAO;99;1;29/01/2018;14/12/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;16;11;30
2018;53004736;CED PROJECAO TAGUATINGA NORTE UNIDADE II;99;1;29/01/2018;29/11/2018;5;5301;53001;53;5300108;530010805;Privada;Urbana;56;25;71
2018;53014677;COL ALICERCE;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53011287;ESC LARANJA LIMA;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53010892;PRE-ESC JARDIM ABC;99;2;;;5;5301;53001;53;5300108;530010805;4;1;;;
2018;53007948;EC 39 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;16;16;72
2018;53007956;EC 40 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;66
2018;53007964;EC 43 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;13;57
2018;53007972;CEF 33 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;20;20;84
2018;53007980;EC 45 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;21;21;96
2018;53007999;EC 46 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;13;70
2018;53008006;EC 47 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;14;61
2018;53008014;EC 48 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;58
2018;53008022;EC 50 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;21;19;70
2018;53008030;EC 52 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;21;21;76
2018;53008049;CEF 31 DE CEILANDIA;8;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;15;15;65
2018;53005635;EC 05 DE SOBRADINHO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;19;18;80
2018;53005643;CEI 03 DE SOBRADINHO;5;1;15/02/2018;20/12/2018;5;5301;53001;53;5300108;530010805;Estadual;Urbana;9;9;50
