code;name;total_rooms;used_rooms;amount_employees
53003608;CED 05 DE TAGUATINGA;20.0;20.0;105.0
53012372;C DE EDUC NATURAL E INTEGRAL - CENI;0.0;0.0;0.0
53010663;CR ACAO SOCIAL NOSSA SENHORA DE FATIMA;0.0;0.0;0.0
53016670;FACULDADE DE CIENCIAS SOCIAS E TECNOLOGICAS;0.0;0.0;0.0
53007255;CAIC BERNARDO SAYAO;23.0;23.0;85.0
53007263;CAIC PROF ANISIO TEIXEIRA;40.0;40.0;80.0
53007280;CEF 02 DE CEILANDIA;16.0;16.0;116.0
53007298;CEF 04 DE CEILANDIA;19.0;19.0;71.0
53007301;CEF 07 DE CEILANDIA;42.0;42.0;107.0
53007310;CEF 10 DE CEILANDIA;14.0;14.0;65.0
53007328;CEF 11 DE CEILANDIA;15.0;15.0;52.0
53007336;CEF 12 DE CEILANDIA;15.0;15.0;76.0
53007344;CEF 13 DE CEILANDIA;17.0;17.0;112.0
53007352;CEF 14 DE CEILANDIA;20.0;18.0;82.0
53007360;CED 14 DE CEILANDIA;19.0;19.0;129.0
53007379;CEF 16 DE CEILANDIA;14.0;14.0;82.0
53007387;CED 15 DE CEILANDIA;20.0;20.0;104.0
53004698;COL PRO - FUTURO;15.0;15.0;29.0
53004701;COL CONEXAO;16.0;11.0;30.0
53004736;CED PROJECAO TAGUATINGA NORTE UNIDADE II;56.0;25.0;71.0
53014677;COL ALICERCE;0.0;0.0;0.0
53011287;ESC LARANJA LIMA;0.0;0.0;0.0
53010892;PRE-ESC JARDIM ABC;0.0;0.0;0.0
53007948;EC 39 DE CEILANDIA;16.0;16.0;72.0
53007956;EC 40 DE CEILANDIA;15.0;15.0;66.0
53007964;EC 43 DE CEILANDIA;15.0;13.0;57.0
53007972;CEF 33 DE CEILANDIA;20.0;20.0;84.0
53007980;EC 45 DE CEILANDIA;21.0;21.0;96.0
53007999;EC 46 DE CEILANDIA;15.0;13.0;70.0
53008006;EC 47 DE CEILANDIA;15.0;14.0;61.0
53008014;EC 48 DE CEILANDIA;15.0;15.0;58.0
53008022;EC 50 DE CEILANDIA;21.0;19.0;70.0
53008030;EC 52 DE CEILANDIA;21.0;21.0;76.0
53008049;CEF 31 DE CEILANDIA;15.0;15.0;65.0
53005635;EC 05 DE SOBRADINHO;19.0;18.0;80.0
53005643;CEI 03 DE SOBRADINHO;9.0;9.0;50.0
53005651;EC 10 DE SOBRADINHO;9.0;9.0;68.0
53005660;EC 11 DE SOBRADINHO;10.0;10.0;84.0
