"cod_coordenacao_regional";"coordenacao_regional";"cod_escola";"escola";"tipo_escola";"curso";"serie";"turno";"cod_turma";"turma";"capacidade_alunos";"total_alunos_enturmados"
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;Não seriada - Ciclo Especial;Vespertino;144.777;CE_NS_V_1_A;12;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Vespertino;144.778;"2º Ano - A";26;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Vespertino;144.779;"2º Ano - B";15;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Vespertino;144.780;"2º Ano - C";18;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Vespertino;144.781;"1º Ano - D";24;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Vespertino;144.782;"1º Ano - E";26;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Vespertino;144.783;"3º Ano - F";26;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Vespertino;144.784;"3º Ano - G";15;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;Não seriada - Ciclo Especial;Vespertino;144.785;CE_NS_V_1_B;2;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;Não seriada - Ciclo Especial;Vespertino;144.786;CE_NS_V_1_C;2;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 1";Matutino;144.787;"1º Ano - A";15;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 2";Vespertino;144.788;"4º Ano - A";22;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 2";Vespertino;144.789;"5º Ano - B";30;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 2";Vespertino;144.790;"5º Ano - C";22;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 2";Vespertino;144.791;"5º Ano - D";22;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 2";Vespertino;144.792;"4º Ano - E";24;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"2º Ciclo - Bloco 2";Vespertino;144.793;"4º Ano - F";18;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"3º Ciclo - Bloco 1";Matutino;144.794;"7º Ano - A";18;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"3º Ciclo - Bloco 1";Matutino;144.795;"6º Ano - B";18;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"3º Ciclo - Bloco 1";Matutino;144.796;"7º Ano - C";28;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"3º Ciclo - Bloco 1";Matutino;144.797;"7º Ano - D";28;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"3º Ciclo - Bloco 1";Matutino;144.798;"7º Ano - E";28;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"3º Ciclo - Bloco 1";Matutino;144.799;"7º Ano - F";28;0
3;CRE - Plano Piloto e Cruzeiro;3;CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO;pública;Ensino Fundamental de 9 Anos - Ciclos;"3º Ciclo - Bloco 1";Matutino;144.800;"7º Ano - G";28;0
