"cod_coordenacao_regional";"coordenacao_regional";"cod_escola";"escola";"tipo_escola";"cod_bloco_predio";"bloco_predio";"cod_ambiente_fisico";"ambiente_fisico";"tipo_ambiente";"funcao_origem";"funcao_utilizacao";"ambiente_fisico_descricao";"ambiente_fisico_area_m2"
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.178;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;325;Centro Educacional 04 de Taguatinga;pública;1.813;D;87.068;"20";PRÓPRIO;SALA DE AULA;SALA DE AULA;Cadastrado conforme informado pela U.E.;48
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.179;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.180;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.181;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.182;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;325;Centro Educacional 04 de Taguatinga;pública;1.813;D;87.069;"21";PRÓPRIO;SALA DE AULA;SALA DE AULA;Cadastrado conforme informado pela UE.;48
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.183;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;25;Centro de Ensino Fundamental 07 de Ceilândia;pública;2.454;G;87.104;MOVIMENTAÇÃO;PRÓPRIO;SALA DE AULA;SALA DE AULA;MOVIMENTAÇÃO;49
9;CRE - Planaltina;655;CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES;pública;574;A;45.184;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
9;CRE - Planaltina;87;CENTRO EDUCACIONAL VÁRZEAS;pública;79;A;87.107;Sala 06;PRÓPRIO;SALA DE AULA;SALA DE AULA;;"33;9"
7;CRE - Guará;392;JARDIM DE INFÂNCIA LÚCIO COSTA;pública;358;A;87.113;Sala 04;PRÓPRIO;SALA DE AULA;SALA DE AULA;Concluída construção da sala em Março/2016.;23
